"time","{FMU2}.FMU2Instance.fk","{FMU}.FMUInstance.x1","{FMU}.FMUInstance.v1"
0.498,4.17031e+216,1,1.5732e+213
0.499,-5.27306e+216,1,5.74194e+213
0.5,-3.97194e+217,1,4.63133e+212
0.501,-4.24585e+217,1,-3.92567e+214
0.502,1.93124e+218,1,-8.1676e+214
0.503,6.82987e+218,1,1.1153e+215
0.504,1.31232e+217,1,7.94406e+215
0.505,-4.75333e+219,1,8.06735e+215
0.506,-9.58898e+219,1,-3.9474e+216
0.507,1.4105e+220,1,-1.35324e+217
0.508,9.52855e+220,1,5.86099e+215
0.509,9.16736e+220,1,9.5871e+217
0.51,-4.83644e+221,1,1.87449e+218
0.511,-1.60785e+222,1,-2.96383e+218
0.512,1.72052e+221,1,-1.90394e+219
0.513,1.15955e+223,1,-1.72998e+219
0.514,2.19638e+223,1,9.86727e+219
0.515,-3.72617e+223,1,3.18212e+220
0.516,-2.28152e+224,1,-5.47234e+219
0.517,-1.9509e+224,1,-2.33619e+221
0.518,1.20682e+225,1,-4.28475e+221
0.519,3.77646e+225,1,7.78772e+221
0.52,-8.99948e+224,1,4.55445e+222
0.521,-2.82258e+226,1,3.64995e+222
0.522,-5.00973e+226,1,-2.45795e+223
0.523,9.74297e+226,1,-7.46522e+223
0.524,5.45245e+227,1,2.28522e+223
0.525,4.07587e+227,1,5.68075e+224
0.526,-3.00127e+228,1,9.75094e+224
0.527,-8.84883e+228,1,-2.02715e+225
0.528,3.32293e+228,1,-1.0874e+226
0.529,6.85633e+229,1,-7.54015e+225
0.53,1.13736e+230,1,6.10307e+226
0.531,-2.52562e+230,1,1.74705e+227
0.532,-1.30054e+231,1,-7.80318e+226
0.533,-8.31051e+230,1,-1.3785e+228
0.534,7.44076e+231,1,-2.20817e+228
0.535,2.06823e+232,1,5.2348e+228
0.536,-1.07471e+232,1,2.59119e+229
0.537,-1.66208e+233,1,1.51388e+229
0.538,-2.56875e+233,1,-1.51084e+230
0.539,6.49887e+233,1,-4.07808e+230
0.54,3.09608e+234,1,2.42487e+230
0.541,1.63806e+234,1,3.33833e+231
0.542,-1.83935e+235,1,4.97305e+231
0.543,-4.82135e+235,1,-1.34255e+232
0.544,3.23875e+235,1,-6.16255e+232
0.545,4.02108e+236,1,-2.91764e+232
0.546,5.76764e+236,1,3.72961e+233
0.547,-1.66158e+237,1,9.49353e+233
0.548,-7.35603e+237,1,-7.13176e+233
0.549,-3.06962e+237,1,-8.0685e+234
0.55,4.53444e+238,1,-1.11301e+235
0.551,1.12079e+239,1,3.42255e+235
0.552,-9.33858e+238,1,1.46271e+236
0.553,-9.70917e+239,1,5.27386e+235
0.554,-1.28638e+240,1,-9.18231e+236
0.555,4.22429e+240,1,-2.20369e+237
0.556,1.74422e+241,1,2.02281e+237
0.557,5.28792e+240,1,1.9463e+238
0.558,-1.11495e+242,1,2.47315e+238
0.559,-2.59773e+242,1,-8.67887e+238
0.56,2.61219e+242,1,-3.46475e+239
0.561,2.33981e+243,1,-8.49089e+238
0.562,2.84692e+243,1,2.25498e+240
0.563,-1.06858e+244,1,5.09965e+240
0.564,-4.1273e+244,1,-5.59127e+240
0.565,-7.68409e+243,1,-4.68587e+241
0.566,2.73476e+245,1,-5.44959e+241
0.567,6.00178e+245,1,2.19034e+242
0.568,-7.14629e+245,1,8.18993e+242
0.569,-5.62787e+246,1,1.03546e+242
0.57,-6.24352e+246,1,-5.52443e+243
0.571,2.69093e+247,1,-1.17624e+244
0.572,9.7457e+247,1,1.51587e+244
0.573,6.40758e+246,1,1.12601e+245
0.574,-6.69202e+248,1,1.18895e+245
0.575,-1.38191e+249,1,-5.50425e+245
0.576,1.92203e+249,1,-1.93178e+246
0.577,1.35108e+250,1,-7.82008e+243
0.578,1.35442e+250,1,1.3503e+247
0.579,-6.74872e+250,1,2.70337e+247
0.58,-2.29622e+251,1,-4.04806e+247
0.581,1.34914e+250,1,-2.70062e+248
0.582,1.63385e+252,1,-2.56301e+248
0.583,3.17002e+252,1,1.37781e+249
0.584,-5.09999e+252,1,4.54645e+249
0.585,-3.23736e+253,1,-5.58085e+248
0.586,-2.89927e+253,1,-3.29311e+250
0.587,1.68623e+254,1,-6.18909e+250
